FID,the_geom,ID_order,ID,today,deviceid,simserial,coordinate,Y_coordina,X_coordina,_coordinat,_coordin_1,tree_speci,other,tree_healt,threat,threat_ele,threat_roa,threat_bui,threat_wat,threat_peo,other_thre,other_001,tree_site,tree_base,_submissio,_index,functional,function_1,function_2,other_002,distance_c,angle_bott,angle_top,circumfere,diameter,comment_st,stem_tree_,_id,small_big
dar_es_salaam_trees.54,POINT (39.25839667 -6.775575),54,153,3/11/2020,3.58E+19,"8,93E+18",-6.775575 39.25839666666666 -14.7 4.9,-6.775575,39.25839667,-14.7,4.9,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:36,13,,,,,,,,,,,,,small
dar_es_salaam_trees.55,POINT (39.258575 -6.775583333),55,154,3/11/2020,3.58E+19,"8,93E+18",-6.775583333333333 39.258575 -13.0 3.5,-6.77558333,39.258575,-13,3.5,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:44,14,,,,,,,,,,,,,small
dar_es_salaam_trees.56,POINT (39.25861667 -6.775565),56,155,3/11/2020,3.58E+19,"8,93E+18",-6.775565 39.25861666666666 -11.5 3.5,-6.775565,39.25861667,-11.5,3.5,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:50,15,,,,,,,,,,,,,small
dar_es_salaam_trees.57,POINT (39.25848 -6.775525),57,156,3/11/2020,3.58E+19,"8,93E+18",-6.775525000000001 39.25848 -10.4 4.5,-6.775525,39.25848,-10.4,4.5,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:25:57,16,,,,,,,,,,,,,small
dar_es_salaam_trees.58,POINT (39.258245 -6.775468333),58,157,3/11/2020,3.58E+19,"8,93E+18",-6.775468333333333 39.258245 -11.6 4.0,-6.77546833,39.258245,-11.6,4,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:26:06,17,,,,,,,,,,,,,small
dar_es_salaam_trees.59,POINT (39.25846 -6.775863333),59,158,3/11/2020,3.58E+19,"8,93E+18",-6.775863333333333 39.25846 -10.3 2.9,-6.77586333,39.25846,-10.3,2.9,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-11T09:26:20,19,,,,,,,,,,,,,small
dar_es_salaam_trees.60,POINT (39.25967667 -6.772925),60,159,3/12/2020,3.58E+19,"8,93E+18",-6.772925 39.259676666666664 19.4 4.8,-6.772925,39.25967667,19.4,4.8,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,Open soil,2020-03-12T08:33:24,65,,,,,,,,,,,,,small
dar_es_salaam_trees.61,POINT (39.25966 -6.772936667),61,160,3/12/2020,3.58E+19,"8,93E+18",-6.772936666666667 39.259660000000004 18.8 4.3,-6.77293667,39.25966,18.8,4.3,other,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,Open soil,2020-03-12T08:33:36,3,,,,,,,,,,,,,small
dar_es_salaam_trees.62,POINT (39.25846333 -6.773758333),62,161,3/12/2020,3.58E+19,"8,93E+18",-6.773758333333334 39.25846333333333 22.4 4.1,-6.77375833,39.25846333,22.4,4.1,palm,,healthy,electricity/wires building/structures,1,0,1,0,0,,,,,2020-03-12T08:31:24,1,,,,,,,,,,,,,small
dar_es_salaam_trees.63,POINT (39.25857167 -6.773551667),63,162,3/12/2020,3.58E+19,"8,93E+18",-6.773551666666666 39.25857166666666 24.8 4.7,-6.77355167,39.25857167,24.8,4.7,palm,,healthy,electricity/wires building/structures,1,0,1,0,0,,,private,restricted/incased,2020-03-12T08:32:32,2,,,,,,,,,,,,,small
dar_es_salaam_trees.64,POINT (39.26170333 -6.77151),64,163,3/11/2020,3.53E+19,"8,93E+18",-6.771510000000001 39.26170333333334 -14.2 4.0,-6.77151,39.26170333,-14.2,4,palm,,healthy,electricity/wires building/structures water/sewage,1,0,1,1,0,,,private,Open soil,2020-03-11T11:12:57,37,,,,,,,,,,,,,small
dar_es_salaam_trees.65,POINT (39.26105 -6.773906667),65,164,3/11/2020,3.59E+19,"8,93E+18",-6.773906666666666 39.26105 45.9 5.0,-6.77390667,39.26105,45.9,5,ashok,,healthy,electricity/wires road water/sewage,1,1,0,1,0,,,public,adjacent to a hard surface,2020-03-11T10:44:43,25,,,,,,,,,,,,,small
